#时间段|去logo(000不去logo)|是否高亮（F不高亮）|音轨ID（从0开始）|字幕轨ID（从0开始）|logo|视频目录|电视剧名称


6|000|F|F|F|0|/mnt/smb/电视剧/《恐龙特急克塞号》52集全国语配音1080P收藏首选|恐龙特急克塞号
6|TV0|0|F|F|F|/mnt/smb/电视剧/人鬼狐|人鬼狐


7|000|0|F|F|F|/mnt/smb/电视剧/新龙门客栈.mkv|新龙门客栈
7|000|0|F|F|F|/mnt/smb/电视剧/飞狐外传.mkv|飞狐外传
7|TV0|0|F|F|0|/mnt/smb/电视剧/上海大风暴|上海大风暴
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之01鹦鹉奇缘.mkv|鹦鹉奇缘
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之02阿宝.mkv|阿宝
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之03地府娘娘.mkv|地府娘娘
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之04婴宁.mkv|婴宁
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之05贾奉雉.mkv|贾奉雉
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之06峨眉一笑.mkv|峨眉一笑
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之07花仙情缘.mkv|花仙情缘
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之08狐仙驯悍记.mkv|狐仙驯悍记  
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之09封三娘.mkv|封三娘
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之10梅女.mkv|梅女
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之11连锁.mkv|连锁
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之12辛十四娘.mkv|辛十四娘
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之13田七郎.mkv|田七郎
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之14香玉.mkv|香玉
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之15八大王.mkv|八大王
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之16陆判.mkv|陆判
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之17乔女.mkv|乔女
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之18鬼宅.mkv|鬼宅
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之19窦女情仇.mkv|窦女情仇
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之20莲香.mkv|莲香
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之21无头案.mkv|无头案
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之22鸦头.mkv|鸦头
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之23阿秀.mkv|阿秀
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之24书痴.mkv|书痴
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之25狐侠.mkv|狐侠
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之26杀阴曹仙媒.mkv|杀阴曹仙媒
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之27翩翩司文郎.mkv|翩翩司文郎
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之28西湖主.mkv|西湖主
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之29雨钱佟客细候.mkv|雨钱佟客细候
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之30瑞云生死情.mkv|瑞云生死情
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之31花姑子荷花三娘子.mkv|花姑子荷花三娘子
7|000|0|F|F|0|/mnt/smb/电视剧/聊斋电视系列片/聊斋系列之32云翠仙.mkv|云翠仙
7|TVA|0|1|F|F|/mnt/smb/电视剧/天龙神剑|天龙神剑
7|TVE|0|F|F|F|/mnt/smb/电视剧/箭侠恩仇|箭侠恩仇
7|AD1|F|F|F|F|/mnt/smb/电视剧/鹤啸九天有广告|鹤啸九天
7|AD1|F|F|F|F|/mnt/smb/电视剧/再向虎山行有广告|再向虎山行
7|TV9|F|F|F|F|/mnt/smb/电视剧/江湖浪子|江湖浪子
7|000|F|F|F|F|/mnt/smb/电视剧/精武门|精武门
7|000|F|F|F|F|/mnt/smb/电视剧/洪熙官|洪熙官
7|TV0|F|F|F|F|/mnt/smb/电视剧/九阴真经1993|九阴真经
7|TVB|F|F|F|F|/mnt/smb/电视剧/十三妹|十三妹
7|TVB|F|F|F|F|/mnt/smb/电视剧/蜀山奇侠之仙侣奇缘1991|仙侣奇缘
7|TV0|0|F|F|F|/mnt/smb/电视剧/惊艳一枪|惊艳一枪



